"filename", "language", "MS SQL", "TypeScript", "JSON", "JavaScript", "Markdown", "TypeScript JSX", "XML", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"/home/ashishm1/ecom-project/components/home/TopsmartphoneClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 4, 11, 103
"/home/ashishm1/ecom-project/components/navbar/CartItems.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 6, 42
"/home/ashishm1/ecom-project/components/navbar/CategoriesBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 0, 70, 19, 154
"/home/ashishm1/ecom-project/components/navbar/LinksDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 120, 0, 0, 0, 6, 17, 143
"/home/ashishm1/ecom-project/components/navbar/Logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 27, 12, 64
"/home/ashishm1/ecom-project/components/navbar/LogoFull.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"/home/ashishm1/ecom-project/components/navbar/NavSearch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 253, 0, 0, 0, 236, 34, 523
"/home/ashishm1/ecom-project/components/navbar/Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 72, 29, 155
"/home/ashishm1/ecom-project/components/navbar/NotificationBell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"/home/ashishm1/ecom-project/components/navbar/notificationBellWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 5, 12
"/home/ashishm1/ecom-project/components/notification/notificationclient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 8, 59
"/home/ashishm1/ecom-project/components/notification/notificationserver.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
