Date : 2025-12-26 22:55:52
Directory : /home/ashishm1/ecom-project
Total : 285 files,  50881 codes, 3872 comments, 3090 blanks, all 57843 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| app/cart                                                                         |          1 |         15 |        271 |         31 |        317 |
| app/checkout                                                                     |          2 |         32 |          0 |          6 |         38 |
| app/checkout (Files)                                                             |          1 |          6 |          0 |          3 |          9 |
| app/checkout/payment                                                             |          1 |         26 |          0 |          3 |         29 |
| app/favorites                                                                    |          2 |         60 |          5 |          8 |         73 |
| app/forgot-password                                                              |          1 |         70 |          0 |         12 |         82 |
| app/login                                                                        |          1 |         10 |          3 |          1 |         14 |
| app/orders                                                                       |          5 |        168 |        154 |         40 |        362 |
| app/orders (Files)                                                               |          1 |         28 |        152 |         19 |        199 |
| app/orders/[id]                                                                  |          4 |        140 |          2 |         21 |        163 |
| app/orders/[id]/cancel                                                           |          2 |         81 |          2 |         11 |         94 |
| app/orders/[id]/success                                                          |          2 |         59 |          0 |         10 |         69 |
| app/privacy-policy                                                               |          1 |        131 |        297 |         44 |        472 |
| app/products                                                                     |          5 |        418 |         49 |         53 |        520 |
| app/products (Files)                                                             |          3 |        188 |         33 |         27 |        248 |
| app/products/[id]                                                                |          2 |        230 |         16 |         26 |        272 |
| app/refund-policy                                                                |          1 |        156 |         10 |         10 |        176 |
| app/reset-password                                                               |          1 |         85 |         71 |         28 |        184 |
| app/signup                                                                       |          1 |          9 |          5 |          3 |         17 |
| app/success                                                                      |          1 |         93 |         11 |         17 |        121 |
| app/terms-and-conditions                                                         |          1 |        106 |         54 |         41 |        201 |
| app/test                                                                         |          1 |        186 |          0 |          7 |        193 |
| app/test1                                                                        |          2 |         30 |          0 |          7 |         37 |
| app/verification                                                                 |          2 |         40 |          0 |         12 |         52 |
| components                                                                       |         78 |      8,796 |      1,694 |      1,282 |     11,772 |
| components (Files)                                                               |          9 |      1,039 |        415 |        186 |      1,640 |
| components/CTA                                                                   |          1 |         55 |          5 |          9 |         69 |
| components/admin                                                                 |         11 |      2,583 |         50 |        272 |      2,905 |
| components/admin (Files)                                                         |          9 |      2,037 |         43 |        207 |      2,287 |
| components/admin/pos                                                             |          2 |        546 |          7 |         65 |        618 |
| components/auth                                                                  |          1 |         22 |          0 |          2 |         24 |
| components/cart                                                                  |          4 |        371 |          9 |         65 |        445 |
| components/checkout                                                              |          4 |        319 |        103 |         71 |        493 |
| components/favourites                                                            |          3 |        333 |          7 |         28 |        368 |
| components/footer                                                                |          1 |        140 |        283 |         60 |        483 |
| components/giobal                                                                |          1 |         15 |          0 |          3 |         18 |
| components/home                                                                  |          4 |        213 |         29 |         33 |        275 |
| components/navbar                                                                |          9 |        609 |        412 |        131 |      1,152 |
| components/notification                                                          |          2 |         58 |          0 |         10 |         68 |
| components/orders                                                                |          1 |        201 |          5 |         23 |        229 |
| components/payments                                                              |          1 |        146 |          3 |         20 |        169 |
| components/products                                                              |          7 |      1,116 |        353 |        156 |      1,625 |
| components/reviews                                                               |          1 |        323 |         18 |         48 |        389 |
| components/skeletons                                                             |          1 |         13 |          1 |          2 |         16 |
| components/ui                                                                    |         17 |      1,240 |          1 |        163 |      1,404 |
| data                                                                             |          4 |      1,659 |          0 |         20 |      1,679 |
| drizzle                                                                          |         26 |     19,473 |         36 |          2 |     19,511 |
| drizzle (Files)                                                                  |         13 |        416 |         36 |          2 |        454 |
| drizzle/meta                                                                     |         13 |     19,057 |          0 |          0 |     19,057 |
| lib                                                                              |         51 |      3,771 |        695 |        781 |      5,247 |
| lib (Files)                                                                      |         11 |        117 |         33 |         40 |        190 |
| lib/actions                                                                      |         22 |      2,097 |        573 |        464 |      3,134 |
| lib/actions (Files)                                                              |         16 |      1,452 |        326 |        309 |      2,087 |
| lib/actions/admin-actions                                                        |          6 |        645 |        247 |        155 |      1,047 |
| lib/constants                                                                    |          1 |         58 |          0 |          1 |         59 |
| lib/customers                                                                    |          1 |        129 |          6 |         21 |        156 |
| lib/customers/order                                                              |          1 |        129 |          6 |         21 |        156 |
| lib/db                                                                           |          2 |        703 |         17 |        127 |        847 |
| lib/helper                                                                       |          1 |          9 |          0 |          2 |         11 |
| lib/helper/cart                                                                  |          1 |          9 |          0 |          2 |         11 |
| lib/imagekit                                                                     |          1 |         76 |          0 |         17 |         93 |
| lib/orders                                                                       |          1 |         79 |          0 |          1 |         80 |
| lib/queries                                                                      |          1 |         69 |          1 |         16 |         86 |
| lib/states                                                                       |          2 |        122 |         59 |         42 |        223 |
| lib/types                                                                        |          6 |        202 |          3 |         32 |        237 |
| lib/validations                                                                  |          2 |        110 |          3 |         18 |        131 |
| public                                                                           |         17 |        143 |          1 |          8 |        152 |
| scripts                                                                          |          2 |        161 |         14 |         27 |        202 |
| seed                                                                             |          3 |        290 |         81 |         43 |        414 |
| utils                                                                            |          1 |         12 |          0 |          3 |         15 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                         | language           | code       | comment    | blank      | total      |
